category_id,STYLE
0,นม อาหารสำหรับแม่และเด็ก
1,ผลิตภัณฑ์อาบน้ำและดูแลสุขภาพเด็ก
2,ผ้าอ้อมและโถนั่งเด็ก
3,นมสด ยูเอชที
4,อุปกรณ์จำเป็นสำหรับเด็ก
5,เวชภัณท์และผลิตภัณท์เฉพาะด้าน
6,ผลิตภัณฑ์อาบน้ำและดูแลผิวกาย
7,ผลิตภัณท์อาหารเสริม
8,เครื่องสำอาง
9,ดูแลสุขภาพและออกกำลังกาย
10,ผลิตภัณฑ์ดูแลผิวหน้า
11,ผลิตภัณฑ์ดูแลช่องปากและฟัน
12,ผ้าอ้อมสำหรับผู้ใหญ่
13,ผลิตภัณฑ์ดูแลเส้นผม
14,ยาใช้ภายนอก สามัญประจำบ้าน
15,ผ้าอนามัย
16,ผลิตภัณฑ์ระงับกลิ่นกาย
17,น้ำอัดลม & โซดาและมิกเซอร์
18,น้ำดื่มเพิ่มคุณค่า
19,เครื่องดื่มเพื่อสุขภาพ
20,น้ำผัก
21,กาแฟ
22,เครื่องดื่มสกัดเข้มข้น
23,น้ำดื่ม และ น้ำแร่
24,ชา
25,เครื่องชงดื่มสำเร็จรูป
26,เครื่องปรุงอาหาร
27,ข้าวสาร
28,อาหารเช้า
29,บะหมี่กึ่งสำเร็จรูป
30,อาหารและผลไม้กระป๋อง
31,ผลิตภัณฑ์ทาขนมปัง
32,ผลิตภัณฑ์ทำความสะอาดผ้า
33,ผลิตภัณฑ์ทำความสะอาดภายในบ้าน
34,ผลิตภัณฑ์กระดาษ
35,ล้างจานและทำความสะอาด
36,ของใช้เบ็ดเตล็ด
37,ผลิตภัณฑ์กำจัดแมลง
38,ลูกอมและหมากฝรั่ง
39,บิสกิต
40,เนื้อสัตว์ปรุงรส
41,ขนมขบเคี้ยว
42,เยลลี่
43,ถั่วและธัญพืช
44,ผลไม้อบแห้ง
45,สวน และสัตว์เลี้ยง
46,อุปกรณ์ไอที
47,เครื่องใช้ไฟฟ้าในบ้าน
48,เครื่องใช้ไฟฟ้าขนาดใหญ่
49,ทีวี และเครื่องเสียง
50,เครื่องใช้ไฟฟ้าส่วนบุคคล
51,โทรศัพท์มือถือ และ แท็บเล็ต
52,สินค้าไลฟ์สไตล์
53,แฟชั่นผู้หญิง
54,แฟชั่นผู้ชาย
55,นาฬิกา
56,กระเป๋า
57,เครื่องประดับ
58,หนังสือ
59,นิตยสารและการ์ตูน
60,กระดาษและสมุด
61,อุปกรณ์สำนักงาน
62,อุปกรณ์การเขียน
63,สื่อบันเทิง
64,กระเช้า
65,ขนม 
66,ของใช้
67,สังฆภัณฑ์และของทำบุญ
